Ubunut1404
ami-49c9295f	x86_64	2017-01-11T05:23:19.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170110	None	hvm	ebs	x86_64	available
ami-822bfa94	x86_64	2017-02-22T22:07:28.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170222	None	hvm	ebs	x86_64	available
ami-7fa00169	x86_64	2017-03-08T08:08:40.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170307	None	hvm	ebs	x86_64	available
ami-4b8e365d	x86_64	2017-03-29T10:15:32.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170328	None	hvm	ebs	x86_64	available
ami-e5bf05f3	x86_64	2017-03-30T23:48:12.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170330	None	hvm	ebs	x86_64	available
ami-772aa961	x86_64	2017-04-06T05:18:53.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170405	None	hvm	ebs	x86_64	available
ami-79f66d6f	x86_64	2017-04-25T04:59:03.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170424	None	hvm	ebs	x86_64	available
ami-ad4b33bb	x86_64	2017-05-18T08:38:46.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170517	None	hvm	ebs	x86_64	available
ami-4b133c5d	x86_64	2017-06-20T06:19:28.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170619	None	hvm	ebs	x86_64	available
ami-810f3297	x86_64	2017-06-30T06:37:57.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170629	None	hvm	ebs	x86_64	available
ami-dd2f39cb	x86_64	2017-07-19T08:49:31.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170718	None	hvm	ebs	x86_64	available
ami-841f46ff	x86_64	2017-07-28T12:48:54.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170727	Canonical, Ubuntu, 14.04 LTS, amd64 trusty image build on 2017-07-27	hvm	ebs	x86_64	available
ami-55af8e2e	x86_64	2017-08-03T10:09:36.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170802	Canonical, Ubuntu, 14.04 LTS, amd64 trusty image build on 2017-08-02	hvm	ebs	x86_64	available
ami-5c95ba27	x86_64	2017-08-08T01:08:27.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170803	Canonical, Ubuntu, 14.04 LTS, amd64 trusty image build on 2017-08-03	hvm	ebs	x86_64	available
ami-aebf91d5	x86_64	2017-08-08T11:46:37.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170807	Canonical, Ubuntu, 14.04 LTS, amd64 trusty image build on 2017-08-07	hvm	ebs	x86_64	available
ami-835d69f8	x86_64	2017-08-12T01:38:25.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170811	Canonical, Ubuntu, 14.04 LTS, amd64 trusty image build on 2017-08-11	hvm	ebs	x86_64	available
ami-3f6e5744	x86_64	2017-08-19T09:27:15.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170818	Canonical, Ubuntu, 14.04 LTS, amd64 trusty image build on 2017-08-18	hvm	ebs	x86_64	available
ami-c7b9a8bc	x86_64	2017-09-05T12:58:58.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170831	Canonical, Ubuntu, 14.04 LTS, amd64 trusty image build on 2017-08-31	hvm	ebs	x86_64	available
ami-44e10d3e	x86_64	2017-09-19T10:47:00.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20170918	Canonical, Ubuntu, 14.04 LTS, amd64 trusty image build on 2017-09-18	hvm	ebs	x86_64	available
ami-6e29e714	x86_64	2017-10-11T09:50:14.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20171010	Canonical, Ubuntu, 14.04 LTS, amd64 trusty image build on 2017-10-10	hvm	ebs	x86_64	available
ami-90fd5dea	x86_64	2017-10-27T18:47:58.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20171026	Canonical, Ubuntu, 14.04 LTS, amd64 trusty image build on 2017-10-26	hvm	ebs	x86_64	available
ami-7dce6507	x86_64	2017-11-02T09:27:50.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20171101	Canonical, Ubuntu, 14.04 LTS, amd64 trusty image build on 2017-11-01	hvm	ebs	x86_64	available
ami-764a210c	x86_64	2017-12-12T02:37:08.000Z	ubuntu/images/hvm-ssd/ubuntu-trusty-14.04-amd64-server-20171208	Canonical, Ubuntu, 14.04 LTS, amd64 trusty image build on 2017-12-08	hvm	ebs	x86_64	available
